canonical_name,variant,variant_type,country,parent_funder,variant_count,merged_count,selection_method,discovery_method,funder_type,openalex_id,openalex_name,openalex_country,openalex_works_count,validation_status
National Research Foundation of Korea,Korea National Research Foundation,alias_manual,Korea,,0,20302,weibull_2.0x+openalex,ner_pipeline,government,F4320322120,National Research Foundation of Korea,KR,243459.0,explicit_alias
Biotechnology and Biological Sciences Research Council,Biological Sciences Research Council,alias,UK,UK Research and Innovation,8471,17142,weibull_2.0x+openalex,ner_pipeline,government,F4320334629,Biotechnology and Biological Sciences Research Council,GB,48777.0,explicit_alias
Biotechnology and Biological Sciences Research Council,BBSRC,acronym,UK,UK Research and Innovation,7583,17142,weibull_2.0x+openalex,ner_pipeline,government,F4320334629,Biotechnology and Biological Sciences Research Council,GB,48777.0,explicit_alias
Biotechnology and Biological Sciences Research Council,Biotechnology and Biological Sciences Research Council,primary,UK,UK Research and Innovation,823,17142,weibull_2.0x+openalex,ner_pipeline,government,F4320334629,Biotechnology and Biological Sciences Research Council,GB,48777.0,explicit_alias
Biotechnology and Biological Sciences Research Council,a Biotechnology and Biological Sciences Research Council,fuzzy,UK,UK Research and Innovation,146,17142,weibull_2.0x+openalex,ner_pipeline,government,F4320334629,Biotechnology and Biological Sciences Research Council,GB,48777.0,explicit_alias
Biotechnology and Biological Sciences Research Council,UK Biotechnology and Biological Sciences Research Council,fuzzy,UK,UK Research and Innovation,119,17142,weibull_2.0x+openalex,ner_pipeline,government,F4320334629,Biotechnology and Biological Sciences Research Council,GB,48777.0,explicit_alias
Agence Nationale de la Recherche,ANR,acronym,France,,13195,15083,weibull_2.0x+openalex,ner_pipeline,government,F4320320883,Agence Nationale de la Recherche,FR,99182.0,explicit_alias
Agence Nationale de la Recherche,French National Research Agency,alias,France,,1888,15083,weibull_2.0x+openalex,ner_pipeline,government,F4320320883,Agence Nationale de la Recherche,FR,99182.0,explicit_alias
European Regional Development Fund,FEDER,acronym,EU,,6417,14332,weibull_2.0x+openalex,ner_pipeline,supranational,F4320335322,European Regional Development Fund,,94949.0,explicit_alias
European Regional Development Fund,European Regional Development Fund,primary,EU,,5071,14332,weibull_2.0x+openalex,ner_pipeline,supranational,F4320335322,European Regional Development Fund,,94949.0,explicit_alias
European Regional Development Fund,ERDF,acronym,EU,,2700,14332,weibull_2.0x+openalex,ner_pipeline,supranational,F4320335322,European Regional Development Fund,,94949.0,explicit_alias
European Regional Development Fund,European Development Regional Fund,fuzzy,EU,,108,14332,weibull_2.0x+openalex,ner_pipeline,supranational,F4320335322,European Regional Development Fund,,94949.0,explicit_alias
European Regional Development Fund,European Union Regional Development Fund,fuzzy,EU,,36,14332,weibull_2.0x+openalex,ner_pipeline,supranational,F4320335322,European Regional Development Fund,,94949.0,explicit_alias
National Cancer Institute,National Cancer Institute,primary,USA,National Institutes of Health,11148,11148,weibull_2.0x+openalex,ner_pipeline,government,F4320337351,National Cancer Institute,US,121259.0,explicit_alias
National Cancer Institute,NCI,acronym_manual,USA,National Institutes of Health,0,11148,weibull_2.0x+openalex,ner_pipeline,government,F4320337351,National Cancer Institute,US,121259.0,explicit_alias
Engineering and Physical Sciences Research Council,Engineering Research Council,alias,UK,UK Research and Innovation,7912,10089,weibull_2.0x+openalex,ner_pipeline,government,F4320334627,Engineering and Physical Sciences Research Council,GB,162278.0,explicit_alias
Engineering and Physical Sciences Research Council,EPSRC,acronym,UK,UK Research and Innovation,2010,10089,weibull_2.0x+openalex,ner_pipeline,government,F4320334627,Engineering and Physical Sciences Research Council,GB,162278.0,explicit_alias
Engineering and Physical Sciences Research Council,Engineering and Physical Sciences Research Council,primary,UK,UK Research and Innovation,144,10089,weibull_2.0x+openalex,ner_pipeline,government,F4320334627,Engineering and Physical Sciences Research Council,GB,162278.0,explicit_alias
Engineering and Physical Sciences Research Council,UK Engineering and Physical Sciences Research Council,fuzzy,UK,UK Research and Innovation,23,10089,weibull_2.0x+openalex,ner_pipeline,government,F4320334627,Engineering and Physical Sciences Research Council,GB,162278.0,explicit_alias
Swiss National Science Foundation,Swiss National Science Foundation,primary,Switzerland,,6817,8693,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Swiss National Science Foundation,SNF,acronym,Switzerland,,907,8693,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Swiss National Science Foundation,SNSF,acronym,Switzerland,,900,8693,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Swiss National Science Foundation,a Swiss National Science Foundation,fuzzy,Switzerland,,69,8693,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
National Institute of Allergy and Infectious Diseases,NIAID,acronym,USA,National Institutes of Health,7857,7924,weibull_2.0x+openalex,ner_pipeline,government,F4320337355,National Institute of Allergy and Infectious Diseases,US,54444.0,explicit_alias
National Institute of Allergy and Infectious Diseases,National Institute of Allergy and Infectious Diseases,primary,USA,National Institutes of Health,67,7924,weibull_2.0x+openalex,ner_pipeline,government,F4320337355,National Institute of Allergy and Infectious Diseases,US,54444.0,explicit_alias
United States Department of Agriculture,USDA,acronym,USA,,7773,7773,weibull_2.0x+openalex,ner_pipeline,government,F4320306114,U.S. Department of Agriculture,US,70714.0,explicit_alias
Ministerio de Economia y Competitividad,Spanish Ministry,alias,Spain,,5709,7743,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Ministerio de Economia y Competitividad,MINECO,acronym,Spain,,2034,7743,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Japan Agency for Medical Research and Development,Japan Agency,alias,Japan,,3825,7405,weibull_2.0x+openalex,ner_pipeline,government,F4320311405,Japan Agency for Medical Research and Development,JP,27563.0,explicit_alias
Japan Agency for Medical Research and Development,AMED,acronym,Japan,,3580,7405,weibull_2.0x+openalex,ner_pipeline,government,F4320311405,Japan Agency for Medical Research and Development,JP,27563.0,explicit_alias
Austrian Science Fund,Austrian Science Fund,primary,Austria,,4257,7133,weibull_2.0x+openalex,ner_pipeline,government,F4320321181,Austrian Science Fund,AT,40184.0,explicit_alias
Austrian Science Fund,FWF,acronym,Austria,,2876,7133,weibull_2.0x+openalex,ner_pipeline,government,F4320321181,Austrian Science Fund,AT,40184.0,explicit_alias
Bundesministerium fur Bildung und Forschung,BMBF,acronym,Germany,,3971,6976,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Bundesministerium fur Bildung und Forschung,German Federal Ministry,alias,Germany,,3005,6976,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
National Institute for Health Research,NIHR,acronym,UK,,6747,6814,weibull_2.0x+openalex,ner_pipeline,government,F4320319990,National Institute for Health and Care Research,GB,41556.0,explicit_alias
National Institute for Health Research,National Health Research Institute,fuzzy,UK,,67,6814,weibull_2.0x+openalex,ner_pipeline,government,F4320319990,National Institute for Health and Care Research,GB,41556.0,explicit_alias
Swedish Research Council,Swedish Research Council,primary,Sweden,,6286,6286,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Swedish Research Council,VR,acronym_manual,Sweden,,0,6286,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Swedish Research Council,Vetenskapsradet,alias_manual,Sweden,,0,6286,weibull_2.0x+openalex,ner_pipeline,government,,,,,explicit_alias
Natural Sciences and Engineering Research Council of Canada,NSERC,acronym,Canada,,5302,6136,weibull_2.0x+openalex,ner_pipeline,government,F4320334593,Natural Sciences and Engineering Research Council of Canada,CA,280034.0,explicit_alias
Natural Sciences and Engineering Research Council of Canada,Natural Sciences and Engineering Research Council,fuzzy,Canada,,653,6136,weibull_2.0x+openalex,ner_pipeline,government,F4320334593,Natural Sciences and Engineering Research Council of Canada,CA,280034.0,explicit_alias
Natural Sciences and Engineering Research Council of Canada,a Natural Sciences and Engineering Research Council,fuzzy,Canada,,181,6136,weibull_2.0x+openalex,ner_pipeline,government,F4320334593,Natural Sciences and Engineering Research Council of Canada,CA,280034.0,explicit_alias
Australian Research Council,Australian Research Council,primary,Australia,,5642,6046,weibull_2.0x+openalex,ner_pipeline,government,F4320334704,Australian Research Council,AU,140106.0,explicit_alias
Australian Research Council,an Australian Research Council,fuzzy,Australia,,338,6046,weibull_2.0x+openalex,ner_pipeline,government,F4320334704,Australian Research Council,AU,140106.0,explicit_alias
Australian Research Council,Australia Research Council,fuzzy,Australia,,66,6046,weibull_2.0x+openalex,ner_pipeline,government,F4320334704,Australian Research Council,AU,140106.0,explicit_alias
Australian Research Council,ARC,acronym_manual,Australia,,0,6046,weibull_2.0x+openalex,ner_pipeline,government,F4320334704,Australian Research Council,AU,140106.0,explicit_alias
Howard Hughes Medical Institute,Howard Hughes Medical Institute,primary,USA,,4454,6010,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306082,Howard Hughes Medical Institute,US,21947.0,explicit_alias
Howard Hughes Medical Institute,HHMI,acronym,USA,,1518,6010,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306082,Howard Hughes Medical Institute,US,21947.0,explicit_alias
Howard Hughes Medical Institute,a Howard Hughes Medical Institute,fuzzy,USA,,38,6010,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306082,Howard Hughes Medical Institute,US,21947.0,explicit_alias
Bill and Melinda Gates Foundation,Melinda Gates Foundation,alias,USA,,4661,5638,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306137,Bill and Melinda Gates Foundation,US,26504.0,explicit_alias
Bill and Melinda Gates Foundation,Bill and Melinda Gates Foundation,primary,USA,,408,5638,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306137,Bill and Melinda Gates Foundation,US,26504.0,explicit_alias
Bill and Melinda Gates Foundation,Bill & Melinda Gates Foundation,fuzzy,USA,,291,5638,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306137,Bill and Melinda Gates Foundation,US,26504.0,explicit_alias
Bill and Melinda Gates Foundation,BMGF,acronym,USA,,278,5638,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306137,Bill and Melinda Gates Foundation,US,26504.0,explicit_alias
Bill and Melinda Gates Foundation,Gates Foundation,alias_manual,USA,,0,5638,weibull_2.0x+openalex,ner_pipeline,philanthropy,F4320306137,Bill and Melinda Gates Foundation,US,26504.0,explicit_alias
