pmid,pmcid,doi,oddpub_category,text_source,char_len
39622914,PMC11612427,10.1038/s41597-024-04158-3,upon request,mineru_md,57082
39632837,PMC11618338,10.1038/s41597-024-04009-1,,mineru_md,36334
39632886,PMC11618800,10.1038/s41597-024-04086-2,unknown/misspecified source,mineru_md,58932
39632921,PMC11618343,10.1038/s41597-024-04134-x,upon request,mineru_md,78690
39638783,PMC11621419,10.1038/s41597-024-04183-2,github,mineru_md,73770
39638794,PMC11621532,10.1038/s41597-024-04157-4,unknown/misspecified source,mineru_md,49844
39695120,PMC11655961,10.1038/s41597-024-04151-w,"upon request, github",mineru_md,38611
39695125,PMC11655562,10.1038/s41597-024-04102-5,github,mineru_md,50039
39695127,PMC11655668,10.1038/s41597-024-04186-z,github,mineru_md,61935
39695140,PMC11655637,10.1038/s41597-024-04217-9,unknown/misspecified source,mineru_md,36856
39695144,PMC11655869,10.1038/s41597-024-04214-y,supplement,mineru_md,46957
39695161,PMC11655852,10.1038/s41597-024-04180-5,,mineru_md,26783
39695165,PMC11655626,10.1038/s41597-024-04169-0,github,mineru_md,30973
39695172,PMC11655557,10.1038/s41597-024-04160-9,github,mineru_md,42015
39695181,PMC11655552,10.1038/s41597-024-04261-5,unknown/misspecified source,mineru_md,43847
39695186,PMC11655563,10.1038/s41597-024-04243-7,,mineru_md,38125
39695192,PMC11655834,10.1038/s41597-024-03976-9,unknown/misspecified source,mineru_md,62371
39695193,PMC11655643,10.1038/s41597-024-04188-x,unknown/misspecified source,mineru_md,31059
39695198,PMC11655662,10.1038/s41597-024-04164-5,re-use,mineru_md,35932
39695223,PMC11655985,10.1038/s41597-024-04198-9,unknown/misspecified source,mineru_md,42525
39695245,PMC11655555,10.1038/s41597-024-04258-0,re-use,mineru_md,51505
39695251,PMC11655960,10.1038/s41597-024-04172-5,,mineru_md,43461
39695252,PMC11655838,10.1038/s41597-024-04165-4,,mineru_md,44408
39695257,PMC11655549,10.1038/s41597-024-04205-z,github,mineru_md,64165
39695312,PMC11655649,10.1038/s41597-024-04189-w,"github, unknown/misspecified source",mineru_md,30308
39702428,PMC11659625,10.1038/s41597-024-04253-5,,mineru_md,32881
39702578,PMC11659470,10.1038/s41597-024-04168-1,,mineru_md,74552
39702819,PMC11659562,10.1038/s41597-024-04277-x,supplement,mineru_md,57270
39706828,PMC11661997,10.1038/s41597-024-04192-1,"supplement, unknown/misspecified source",mineru_md,80021
39709502,PMC11663226,10.1038/s41597-024-04278-w,"supplement, unknown/misspecified source",mineru_md,80021
39709504,PMC11663220,10.1038/s41597-024-04281-1,github,mineru_md,51324
39715763,PMC11666581,10.1038/s41597-024-04270-4,unknown/misspecified source,mineru_md,38275
39730327,PMC11680833,10.1038/s41597-024-04336-3,unknown/misspecified source,mineru_md,26452
39730336,PMC11681092,10.1038/s41597-024-04290-0,,mineru_md,80021
39732723,PMC11682344,10.1038/s41597-024-04328-3,github,mineru_md,33210
39738204,PMC11685662,10.1038/s41597-024-04276-y,,mineru_md,38836
39747886,PMC11695680,10.1038/s41597-024-04362-1,,mineru_md,47742
39753563,PMC11698851,10.1038/s41597-024-04351-4,,mineru_md,41895
39762331,PMC11704310,10.1038/s41597-025-04372-7,github,mineru_md,53800
39774015,PMC11707331,10.1038/s41597-025-04375-4,,mineru_md,47668
39794367,PMC11723921,10.1038/s41597-025-04392-3,unknown/misspecified source,mineru_md,39309
39799107,PMC11724993,10.1038/s41597-024-04175-2,unknown/misspecified source,mineru_md,55123
39799118,PMC11724851,10.1038/s41597-024-04299-5,,mineru_md,34979
39799135,PMC11724850,10.1038/s41597-024-04329-2,github,mineru_md,65919
